student_id,week,stress_level,hours_slept,comment
5804013,4,3,4,Range early wait history under set by southern family.
5811123,4,2,7,State sister popular style range act growth bad.
5182675,4,3,1,Writer sister make travel argue.
5477570,4,1,8,Movement fill time network put memory scientist story performance.
5536513,4,4,7,Play event recent provide and wear protect worker.
5949890,4,3,7,Receive ago what floor trouble if idea.
5159869,4,1,7,Training mission recognize her game those tough consider.
5206695,4,1,6,Short close church result affect ball believe move individual.
5907912,4,3,7,Party know take happen goal forward mind close.
5001700,4,4,6,Collection travel worry speak physical citizen behind both food question.
5880632,4,2,6,Alone full time entire sure agency base like part institution cup.
5873811,4,1,7,Administration blue method white impact.
5549467,4,2,7,Finish a officer approach responsibility second just medical born night.
5374289,4,3,7,Always picture idea wide may.
5451470,4,1,8,Type know represent hope us when information site later attorney.
5003645,4,4,8,Seek property board pretty thought claim those thought.
5253768,4,1,7,This however indeed meet nothing enough.
5434566,4,4,6,Soldier rather administration exactly small.
5449513,4,2,6,Box while song example national rather.
5722950,4,2,7,Maybe stay watch toward away.
5941999,4,1,2,Finally very though realize operation.
5051467,4,2,8,Population long assume turn.
5287564,4,1,5,Present or design manager its economic pick tax.
