student_id,week,stress_level,hours_slept,comment
5777990,8,4,7,Glass season sort service yet baby training Republican television.
5874065,8,4,1,You when lay ten lose age far fine increase scientist myself.
5422612,8,2,6,Major color his herself fear rest take recognize.
5344188,8,4,8,Blue keep billion month house.
5390494,8,5,2,Attack finish drug whose next song fly brother tonight.
5136669,8,3,6,Though state treat explain six.
5195256,8,4,8,Time great everybody feel near walk vote.
5144396,8,3,5,Industry even author collection wide decade home but day hope likely.
5149012,8,4,6,Quite back billion up fear support its space keep tonight.
5730773,8,3,5,Green watch personal north key meeting around.
5704497,8,5,3,Change read morning and head.
5474357,8,2,6,Fill fund Mrs who else stage maintain church success.
5628324,8,5,4,Congress effort simple often how against thousand parent.
5189684,8,4,8,Product democratic west he least indicate prevent evidence.
5394393,8,1,6,Factor record fact practice while stay key long.
5133826,8,3,8,Discussion cold eye decade.
5653437,8,4,5,Recognize become particularly record left.
5568220,8,3,5,Plant crime live level order pull prevent say instead.
5672919,8,4,4,Method product financial court agree them require sign large general me.
5733746,8,3,8,Always drug reveal measure drop.
5278442,8,3,5,War anyone season war own.
5238205,8,3,8,Record law economy best environment town eye production.
5044212,8,4,1,Address it major week north either benefit change.
