student_id,week,stress_level,hours_slept,comment
5537008,9,4,1,Begin course factor final.
5089755,9,2,8,Civil soon soldier draw community cell them poor better.
5750799,9,3,7,Mouth institution lawyer soldier past per.
5446907,9,4,6,May go difference himself a draw everyone people late system.
5032322,9,4,6,Statement wish cut pressure detail suggest want six two most.
5175450,9,5,1,Range letter need job reflect.
5063290,9,2,7,Language get about state attention doctor.
5412506,9,4,7,Whole realize black this.
5658316,9,5,4,Catch none popular for serious law worker.
5980613,9,1,5,Too ground laugh develop foreign capital government.
5773623,9,4,1,Organization class force people summer since look case.
5107045,9,5,3,Field prevent simple top pattern guy true artist.
5046428,9,2,8,Gas former quickly field hair relationship the.
5607274,9,4,1,Eat series return be respond.
5283881,9,4,1,Different discussion security behavior own determine ever special good.
5963624,9,5,6,Police born walk guy force ahead five so natural plan.
5328905,9,3,8,Itself get determine visit air American.
5029720,9,2,4,Image could another sea.
5780039,9,4,8,Sell local baby threat bit speech economy her try.
5694868,9,3,7,Behind official recognize available Republican when voice market leader hard.
5739829,9,5,1,Discussion senior customer land work benefit.
