student_id,week,stress_level,hours_slept,comment
5089755,11,1,7,Current may start seat each.
5994714,11,3,5,Education degree go campaign environment fish fill everything instead believe my.
5750799,11,4,9,No girl sometimes stay add see course.
5446907,11,4,2,Career by former down always free cold itself picture affect.
5175450,11,4,5,According give style contain sea marriage understand part middle not.
5063290,11,3,7,Method government candidate kitchen sign.
5412506,11,3,7,Prevent child though remain use Mr lot perform economic.
5658316,11,4,1,Too admit evidence along air article event.
5980613,11,1,6,Always lawyer bill let state.
5773623,11,3,4,Responsibility when performance include generation score.
5065194,11,2,1,Movie world rich rest else attorney.
5060259,11,3,6,Unit administration always indeed it name.
5107045,11,5,5,Cup care let mention build door really need beautiful.
5566911,11,3,7,Different eye court age suffer.
5046428,11,1,8,May floor call thus recent matter relate.
5607274,11,3,2,As watch letter various ever read whom along rule church.
5963624,11,3,9,Road anything director side either against white many they.
5328905,11,4,8,Various wonder painting term.
5959746,11,1,1,Despite add throughout skin usually force quickly.
5780039,11,4,8,Growth kid establish door.
5059686,11,2,7,Simple while picture player hair anything who kitchen factor life.
5739829,11,5,4,After but strong address model too eight.
