student_id,module_id,module_code,week,attendance_status
5130236,2272043,ES3I4,5,1
5130236,5838485,RF2H4,5,1
5130236,6819449,VO2M6,5,1
5130236,2855817,LS1R1,5,0
5537008,1970589,JP3I4,5,1
5537008,9446184,PP2A2,5,1
5089755,7602089,TN1B5,5,1
5089755,4068184,TE1Q6,5,0
5089755,3028289,XR1O3,5,1
5994714,1970589,JP3I4,5,1
5994714,9446184,PP2A2,5,1
5930950,4068184,TE1Q6,5,1
5930950,3028289,XR1O3,5,1
5930950,7602089,TN1B5,5,1
5750799,3028289,XR1O3,5,1
5750799,4068184,TE1Q6,5,0
5750799,7602089,TN1B5,5,1
5446907,7712044,ZI2K7,5,1
5446907,5838485,RF2H4,5,1
5446907,6819449,VO2M6,5,1
5717562,6819449,VO2M6,5,1
5717562,2272043,ES3I4,5,0
5717562,8642145,OO2Z2,5,0
5717562,5838485,RF2H4,5,1
5032322,4068184,TE1Q6,5,1
5032322,3028289,XR1O3,5,1
5032322,7602089,TN1B5,5,1
5175450,1970589,JP3I4,5,1
5175450,9446184,PP2A2,5,1
5175450,6201784,NG2O9,5,1
5175450,8165612,OS3A3,5,1
5063290,2358803,NX3O3,5,1
5063290,8675650,UC2I8,5,1
5063290,5838485,RF2H4,5,1
5412506,8675650,UC2I8,5,1
5412506,2358803,NX3O3,5,1
5412506,5685350,SO3D2,5,0
5658316,5685350,SO3D2,5,1
5658316,8675650,UC2I8,5,1
5658316,7668722,AE1C3,5,1
5980613,9600890,ES1T3,5,1
5980613,2502502,VH3A2,5,1
5980613,7837408,VF2R8,5,0
5773623,2358803,NX3O3,5,1
5773623,8675650,UC2I8,5,1
5773623,5685350,SO3D2,5,1
5065194,6819449,VO2M6,5,0
5065194,7712044,ZI2K7,5,1
5065194,1960263,GP1M5,5,1
5060259,2502502,VH3A2,5,1
5060259,7837408,VF2R8,5,1
5060259,9600890,ES1T3,5,1
5107045,7602089,TN1B5,5,1
5107045,3028289,XR1O3,5,1
5107045,4068184,TE1Q6,5,1
5566911,7668722,AE1C3,5,1
5566911,4092056,WV2A1,5,1
5566911,4264213,VJ2S9,5,0
5566911,4017698,BZ2U9,5,1
5566911,5685350,SO3D2,5,1
5046428,1960263,GP1M5,5,1
5046428,2855817,LS1R1,5,1
5607274,4092105,TG3X9,5,1
5607274,2882202,ZO3P5,5,1
5283881,1960263,GP1M5,5,1
5283881,2855817,LS1R1,5,1
5283881,3028289,XR1O3,5,1
5963624,3028289,XR1O3,5,1
5963624,7602089,TN1B5,5,1
5963624,4068184,TE1Q6,5,0
5328905,2882202,ZO3P5,5,1
5328905,4092105,TG3X9,5,1
5328905,1960263,GP1M5,5,0
5328905,2855817,LS1R1,5,1
5029720,5838485,RF2H4,5,1
5029720,2272043,ES3I4,5,0
5029720,7712044,ZI2K7,5,1
5029720,4264213,VJ2S9,5,1
5959746,8675650,UC2I8,5,0
5959746,5685350,SO3D2,5,0
5780039,9600890,ES1T3,5,0
5780039,7837408,VF2R8,5,1
5780039,2502502,VH3A2,5,1
5694868,9446184,PP2A2,5,1
5694868,6201784,NG2O9,5,0
5694868,7668722,AE1C3,5,0
5059686,9600890,ES1T3,5,1
5059686,2502502,VH3A2,5,0
5059686,7837408,VF2R8,5,1
5739829,9446184,PP2A2,5,1
5739829,6201784,NG2O9,5,1
5739829,8165612,OS3A3,5,1
