student_id,module_id
5904146,8434159
5904146,4012247
5254517,3725519
5254517,9435487
5254517,6709737
5254517,8177146
5749402,4811678
5749402,8069392
5749402,9215108
5859682,3725519
5859682,9435487
5859682,8177146
5942215,6709737
5942215,9435487
5942215,3725519
5942215,8177146
5573892,4675438
5573892,8277817
5573892,4012247
5573892,8434159
5674541,1373224
5674541,9746157
5674541,1067710
5674541,8205564
5826211,1067710
5826211,1373224
5826211,8935813
5300174,1874735
5300174,7217231
5300174,9843782
5300174,4768158
5045963,9843782
5045963,4415631
5757711,8069392
5757711,7080977
5757711,4811678
5889736,8177146
5889736,9435487
5889736,3725519
5889736,6709737
5814795,8277817
5814795,4012247
5814795,4675438
5596077,3694609
5596077,1572366
5596077,9180845
5596077,4380532
5596077,1701494
5586931,1874735
5586931,9843782
5586931,4768158
5586931,7217231
5211524,5645762
5211524,1572366
5211524,4380532
5211524,9180845
5211524,9435487
5356956,4415631
5356956,4768158
5356956,7217231
5356956,9843782
5890466,8935813
5890466,1701494
5890466,9215108
5205468,5645762
5205468,3694609
5205468,9180845
5205468,4380532
5298585,5645762
5298585,4380532
5298585,9180845
5938836,9435487
5938836,3725519
5938836,8177146
5776535,3694609
5776535,9180845
5776535,1572366
5134998,8177146
5134998,6709737
5134998,3725519
5731432,8935813
5731432,1194429
5731432,4563582
5731432,1701494
5731432,8205564
5059201,4563582
5059201,8935813
5059201,1701494
5076717,4675438
5076717,4012247
5039962,5645762
5039962,9180845
5039962,4380532
5039962,3694609
5621557,4563582
5621557,1701494
5621557,1194429
5621557,8935813
5621557,8277817
5635314,9746157
5635314,1067710
5635314,4380532
5168749,4811678
5168749,8069392
5168749,7080977
