student_id,module_id
5181889,926060
5181889,876333
5721475,926060
5721475,876333
5721475,753137
5721475,873765
5154016,873765
5154016,876333
5154016,753137
5617381,873765
5617381,753137
5617381,926060
5617381,625405
5958980,625405
5958980,876333
5958980,753137
5121616,926060
5121616,873765
5444393,876333
5444393,873765
5444393,757372
5444393,753137
5818536,876333
5818536,753137
5818536,625405
5494679,873765
5494679,876333
5494679,753137
5494679,757372
5760926,876333
5760926,873765
5116673,876333
5116673,625405
5116673,757372
5769898,753137
5769898,926060
5934136,757372
5934136,625405
5934136,876333
5934136,753137
5892645,926060
5892645,753137
5892645,625405
5892645,876333
5907499,625405
5907499,753137
5075164,757372
5075164,873765
5075164,876333
5240434,926060
5240434,753137
5240434,625405
5198755,753137
5198755,926060
5941918,753137
5941918,876333
5941918,926060
5941918,625405
5575906,757372
5575906,926060
5575906,753137
5575906,625405
5972373,926060
5972373,876333
5545778,625405
5545778,873765
5545778,926060
5545778,753137
5409575,876333
5409575,753137
5003259,757372
5003259,625405
5455771,753137
5455771,876333
5414542,926060
5414542,876333
5414542,625405
5414542,757372
5132134,926060
5132134,625405
5584460,757372
5584460,926060
5114925,926060
5114925,876333
5114925,625405
5114925,873765
5996565,873765
5996565,757372
5928596,873765
5928596,757372
5928596,876333
5239037,876333
5239037,926060
5239037,753137
5239037,757372
5681672,757372
5681672,753137
5681672,926060
5681672,625405
5952110,757372
5952110,625405
5952110,753137
5952110,926060
5493388,926060
5493388,625405
5493388,876333
5493388,757372
5902117,753137
5902117,757372
5228457,876333
5228457,926060
5462024,876333
5462024,625405
5462024,873765
5943831,625405
5943831,757372
5431818,926060
5431818,753137
5431818,876333
5955735,926060
5955735,757372
5266692,873765
5266692,876333
5696104,625405
5696104,926060
5696104,876333
5696104,873765
5648571,625405
5648571,753137
5412656,873765
5412656,753137
5208322,873765
5208322,753137
5687835,926060
5687835,876333
5687835,625405
5687835,757372
5945844,873765
5945844,926060
5330964,876333
5330964,757372
5330964,625405
5165123,757372
5165123,873765
