student_id,module_id,module_code,week,attendance_status
5804013,625412,MA1S3,1,1
5804013,318284,CS3A1,1,1
5811123,539407,SE1G5,1,1
5811123,625412,MA1S3,1,0
5493200,625412,MA1S3,1,1
5493200,318284,CS3A1,1,1
5493200,626027,MA3S4,1,1
5493200,539407,SE1G5,1,0
5182675,532598,SE1P4,1,1
5182675,539407,SE1G5,1,0
5182675,924333,ML1O9,1,0
5477570,532598,SE1P4,1,1
5477570,625412,MA1S3,1,1
5477570,318284,CS3A1,1,0
5477570,924333,ML1O9,1,1
5536513,626027,MA3S4,1,0
5536513,318284,CS3A1,1,1
5949890,318284,CS3A1,1,1
5949890,532598,SE1P4,1,1
5159869,539407,SE1G5,1,1
5159869,318284,CS3A1,1,1
5159869,924333,ML1O9,1,0
5159869,532598,SE1P4,1,1
5206695,318284,CS3A1,1,1
5206695,626027,MA3S4,1,1
5166492,539407,SE1G5,1,0
5166492,532598,SE1P4,1,0
5166492,626027,MA3S4,1,1
5166492,924333,ML1O9,1,1
5907912,626027,MA3S4,1,0
5907912,318284,CS3A1,1,0
5907912,532598,SE1P4,1,1
5001700,626027,MA3S4,1,1
5001700,532598,SE1P4,1,1
5001700,924333,ML1O9,1,1
5493727,539407,SE1G5,1,0
5493727,626027,MA3S4,1,0
5251827,924333,ML1O9,1,0
5251827,318284,CS3A1,1,0
5251827,626027,MA3S4,1,1
5880632,626027,MA3S4,1,0
5880632,318284,CS3A1,1,0
5873811,924333,ML1O9,1,0
5873811,539407,SE1G5,1,1
5873811,318284,CS3A1,1,1
5549467,532598,SE1P4,1,1
5549467,625412,MA1S3,1,1
5549467,626027,MA3S4,1,0
5549467,539407,SE1G5,1,1
5121408,539407,SE1G5,1,1
5121408,626027,MA3S4,1,1
5374289,532598,SE1P4,1,0
5374289,318284,CS3A1,1,1
5451470,626027,MA3S4,1,1
5451470,924333,ML1O9,1,0
5003645,625412,MA1S3,1,1
5003645,318284,CS3A1,1,1
5003645,626027,MA3S4,1,1
5253768,626027,MA3S4,1,1
5253768,924333,ML1O9,1,0
5253768,532598,SE1P4,1,1
5434566,539407,SE1G5,1,1
5434566,626027,MA3S4,1,1
5434566,318284,CS3A1,1,1
5449513,539407,SE1G5,1,1
5449513,318284,CS3A1,1,1
5679490,532598,SE1P4,1,1
5679490,625412,MA1S3,1,0
5679490,539407,SE1G5,1,1
5650899,626027,MA3S4,1,1
5650899,625412,MA1S3,1,0
5650899,318284,CS3A1,1,1
5722950,924333,ML1O9,1,0
5722950,626027,MA3S4,1,1
5722950,539407,SE1G5,1,1
5722950,532598,SE1P4,1,1
5941999,924333,ML1O9,1,1
5941999,539407,SE1G5,1,0
5051467,625412,MA1S3,1,0
5051467,924333,ML1O9,1,0
5287564,625412,MA1S3,1,1
5287564,318284,CS3A1,1,1
5287564,626027,MA3S4,1,0
5287564,539407,SE1G5,1,1
