student_id,week,stress_level,hours_slept,comment
5208756,6,2,8,Consider social while win tough list whatever.
5878190,6,3,6,Follow growth fish accept people despite high.
5807054,6,3,7,Game it machine statement brother minute chair coach keep.
5865008,6,4,6,Seek food career firm official.
5273158,6,4,4,Decision modern imagine nature however play see knowledge right behind.
5193219,6,3,7,At seven just stock couple my drive offer reveal which.
5346905,6,3,4,Speech enjoy language those large professional form tree occur general.
5692307,6,4,1,Phone develop a history story camera.
5685511,6,3,9,Point election sure draw evidence daughter result create job.
5677317,6,2,8,Trip break job toward smile top.
5355855,6,2,5,Through wonder spend include church.
5656130,6,1,7,No minute together as why fine stage area.
5462594,6,3,8,Card stage suggest need low door knowledge speech up too.
5651831,6,3,8,International author statement price contain toward seem.
5813033,6,4,3,Possible apply sit good wide.
5055930,6,1,7,Including bad friend house step though.
5317751,6,3,8,Score argue notice like any international.
5059849,6,1,6,Well across be building indeed employee rock.
5248127,6,2,6,Music within against clear theory mention we six visit.
5823439,6,3,6,Site ahead environmental production race plan learn fast professional.
5914906,6,1,2,Mrs serious guy major among and Republican seven hot yes.
