student_id,week,stress_level,hours_slept,comment
5822155,5,2,7,Beautiful live of floor wish study contain.
5270913,5,2,7,Study nothing today total quality allow production truth.
5504713,5,1,6,Lawyer worry last within those.
5360697,5,1,7,Among but break office or safe fine through specific.
5440959,5,4,7,Watch discuss must part focus better agent century fact education.
5526754,5,3,6,Positive our wall girl identify.
5139421,5,3,8,American just threat against behind.
5936307,5,3,7,Together whole story edge risk.
5194357,5,2,5,Cultural weight training food body government create certainly data property.
5430678,5,3,7,Fly wonder military man rich.
5819175,5,3,7,Half move Mrs serious tough bed safe opportunity per.
5831302,5,4,6,Scene civil hard democratic production where east anyone why you.
5047729,5,3,5,Learn source interest other fear describe forget within.
5930052,5,1,7,Expert green structure what respond structure.
5752647,5,2,6,Full item hit how thus traditional.
5341129,5,2,5,Ever commercial law specific everything high season.
5768495,5,4,5,Issue involve build themselves responsibility simple share far idea thus.
5209305,5,3,6,Go accept behavior young guy international three investment suddenly continue.
5621181,5,3,5,All become floor business long.
5625999,5,1,6,Child across property thus gas southern site growth.
5383131,5,1,7,Space boy pass discover significant less television.
5893890,5,3,6,Police her church billion.
5513840,5,2,7,Worker from not figure significant.
5504604,5,2,7,Beautiful social condition force society per half plant.
5926441,5,2,6,Step pretty crime realize price appear full every.
5897155,5,3,5,Partner Congress speak tell ask reveal investment mother laugh relationship in.
5029350,5,2,6,Successful action similar job while author none career right.
5789908,5,4,5,Compare forget few inside or order have else somebody.
5583736,5,3,6,Expect decide policy run avoid away task popular area follow agent.
5172943,5,1,7,Whom rule assume get political wide part.
5026451,5,1,8,Physical huge let team charge Mr never feel.
5729237,5,2,6,Opportunity pretty enter simple second hold ground political.
5840304,5,2,7,Development religious less drive who put increase happen.
5025590,5,1,7,Standard fear population order hit.
5776574,5,4,5,Moment truth money body bring let agreement pressure good sound strategy.
5920838,5,3,5,Receive crime understand raise both.
5596507,5,1,6,Price question human television everybody focus poor may spend director.
5270884,5,3,8,Appear wrong grow also event sport.
