student_id,week,stress_level,hours_slept,comment
5721475,2,1,7,Support president past ball last game.
5617381,2,3,8,Sea charge grow any share exist suffer wait.
5958980,2,1,7,Begin herself game seem student enter face suffer road technology.
5121616,2,1,6,Bring these together bank suddenly same product watch either us.
5444393,2,1,8,Send middle woman instead.
5818536,2,3,8,It political far nature option.
5494679,2,3,8,Spend move still single top war pick Democrat even.
5760926,2,3,8,Improve daughter reason authority north.
5116673,2,2,4,Down attack article teach paper another.
5769898,2,2,3,Who space nothing buy may.
5892645,2,2,7,Move reality building how system describe together near.
5907499,2,2,2,Order be individual low defense.
5075164,2,2,7,Rock write ball tonight investment own door budget bring environment.
5240434,2,3,7,Turn write at form draw show ground including turn.
5198755,2,1,7,Owner born season recognize appear rather.
5941918,2,4,8,Truth message animal glass able happy entire various probably.
5575906,2,2,6,Church yourself hold choice consumer party.
5972373,2,4,8,Reason should whom fill media notice around create sister.
5545778,2,2,8,Serve usually past short wife mention base community.
5003259,2,3,8,Study size environmental really task color will.
5414542,2,1,6,Process ready government life prove.
5114925,2,2,6,Those run service service carry town mind upon.
5996565,2,2,7,Spend seven strategy of become.
5928596,2,1,6,No thank to strong market never difficult.
5681672,2,1,7,Environment necessary word theory couple into however outside black.
5493388,2,3,7,One view yard season avoid security phone.
5228457,2,2,6,Cell need decade listen probably section.
5462024,2,3,7,Who south weight important cell value police such middle.
5943831,2,2,4,Audience ahead artist beat throughout industry.
5431818,2,2,8,Week ten fast by writer.
5696104,2,1,7,Truth use yes receive cold admit.
5648571,2,3,5,Stay have life treatment region available loss together agree.
5412656,2,3,6,Mother keep alone ago million cell wear situation assume.
5208322,2,4,6,Every more type leave up magazine.
5687835,2,3,8,He two eight across visit how office real seem notice.
5945844,2,2,6,Wonder everything fall still across later method.
5165123,2,1,8,You model also war recognize none last manager.
