student_id,week,stress_level,hours_slept,comment
5310058,1,2,6,Back western month moment little cold apply model young.
5561275,1,3,6,Apply option member point better son expert standard hospital result.
5107914,1,3,7,Ten hope time collection picture ten southern myself prepare.
5521430,1,1,1,Or American guy rest prepare little think measure machine form.
5496743,1,3,2,Tell collection central project image remember light your.
5191647,1,2,5,Show audience customer worry certainly.
5880898,1,2,6,Report what student respond site.
5728955,1,2,8,Check process somebody scientist quickly war.
5403886,1,3,7,War firm there quite within decide hard.
5272473,1,1,8,Local agreement meeting matter go prove already entire decade.
5821664,1,1,6,Share better already east ten bill bar simply cup.
5385236,1,2,5,Paper subject decide leg audience learn give third prove accept.
5264631,1,3,7,Then former run modern hit ability.
5154882,1,3,8,Whom great none need remain candidate.
5744273,1,4,6,Least surface history child mean security area offer age.
5218710,1,1,6,Should month cause skin artist drive eat.
5444663,1,3,6,Everybody see leave letter TV check affect meeting past ask arrive.
5333294,1,2,7,Her some foot girl nature speech contain lead week natural.
5644812,1,2,7,Mention without matter center federal once water early.
5500568,1,4,5,Fall leader since total either value compare American.
5809669,1,2,8,Maybe rest follow field police nor station contain hundred.
5163798,1,3,2,Research next these help seven must no Mrs man page back.
5895198,1,3,8,Citizen and remember country eat wish support tonight like.
5400785,1,2,6,Baby similar college now shake top.
5106839,1,4,7,Official couple wide authority fight.
5019999,1,3,6,Treat affect left born toward when away police laugh role.
5043110,1,3,8,How note other environment ground just view score myself.
5775911,1,3,4,About simply yard among study behind direction occur reduce.
5761327,1,3,8,Be realize moment stop not mission half describe respond bring company.
5180822,1,3,3,One personal prepare resource town visit happen finish officer.
5088180,1,2,5,Price student cover care everyone itself never force.
5393119,1,3,7,Dinner concern tonight cup before give teacher apply.
5993164,1,3,1,Ready fish place career leave mind hotel rock.
5790385,1,4,7,Could beat culture almost myself computer college better recently history attorney.
5656121,1,2,8,Suggest share next sell who.
5883753,1,3,8,Fight ever take institution billion rather.
5468190,1,2,2,Whole here believe budget value eye kitchen.
5620018,1,3,7,Into lay discussion interest soon group already.
5816496,1,2,8,Employee mind experience with hot.
