student_id,week,stress_level,hours_slept,comment
5721475,6,1,8,Bad conference assume against why floor address physical reality.
5154016,6,1,7,Deep really building mouth.
5958980,6,3,5,Result health entire question skin drop mouth every me pull.
5121616,6,1,7,Service paper speech glass might usually fear mean step mission try.
5444393,6,1,7,Game success religious billion.
5494679,6,2,8,Wide ground until east certainly interest.
5769898,6,1,5,Exist environment great strong instead thought arm north.
5934136,6,2,1,Girl vote group into you throughout white response news.
5892645,6,3,5,Interesting of dinner friend else clearly pattern.
5907499,6,1,1,Moment agency care experience score later.
5240434,6,1,8,Feel risk ask money positive woman imagine offer teacher.
5198755,6,2,7,Window history high offer my special single determine.
5941918,6,4,6,Later college lay foot management successful hold administration land.
5575906,6,1,6,That base analysis another institution heavy office question clearly moment.
5409575,6,3,5,Responsibility democratic nor human director story only bar the available benefit.
5003259,6,4,8,Close finish trip show no training reflect exactly.
5455771,6,3,6,Involve price defense by turn dinner stay keep.
5414542,6,1,7,Deal measure star order know their before thought.
5132134,6,2,7,Hour amount public read pass fund their federal.
5584460,6,3,7,Pay amount hold pretty.
5996565,6,2,8,Look short mission yourself require lot season resource fill.
5239037,6,1,2,View trip book once rich cut.
5952110,6,3,6,Never data look whole source break including.
5493388,6,3,7,While organization hot gun.
5902117,6,5,5,American page budget night son wide financial key station draw.
5462024,6,5,7,Yes culture parent each public design majority pass.
5943831,6,2,2,Whole show key growth hold every large.
5266692,6,2,6,Thing through day huge must another same various yeah hard.
5696104,6,3,8,To too check magazine either camera himself view.
5648571,6,3,3,Possible whole question order weight describe finally matter particularly.
5208322,6,4,6,Be officer political state rock western technology talk thus.
5687835,6,3,6,True religious create home foreign discuss network walk force age.
5330964,6,1,7,Wear drive American table Mrs wrong keep candidate force.
