student_id,module_id
5310058,752398
5310058,444465
5310058,311675
5604662,533548
5604662,444465
5604662,446392
5604662,621522
5561275,446392
5561275,752398
5561275,621522
5561275,533548
5177089,444465
5177089,752398
5431960,621522
5431960,311675
5431960,446392
5107914,444465
5107914,446392
5107914,311675
5521430,621522
5521430,533548
5521430,311675
5521430,444465
5748815,311675
5748815,533548
5496743,621522
5496743,444465
5496743,533548
5191647,752398
5191647,621522
5191647,311675
5191647,533548
5880898,444465
5880898,621522
5532277,444465
5532277,446392
5728955,533548
5728955,621522
5728955,444465
5728955,446392
5403886,444465
5403886,752398
5403886,446392
5403886,621522
5272473,752398
5272473,311675
5821664,533548
5821664,444465
5385236,446392
5385236,444465
5385236,311675
5385236,752398
5264631,446392
5264631,311675
5154882,621522
5154882,446392
5744273,621522
5744273,446392
5744273,752398
5218710,446392
5218710,444465
5218710,533548
5218710,752398
5444663,446392
5444663,533548
5444663,444465
5444663,621522
5343038,446392
5343038,752398
5343038,311675
5140404,533548
5140404,446392
5333294,752398
5333294,311675
5644812,446392
5644812,444465
5500568,752398
5500568,621522
5500568,533548
5500568,444465
5886334,621522
5886334,311675
5809669,311675
5809669,621522
5163798,444465
5163798,752398
5163798,311675
5895198,311675
5895198,444465
5895198,621522
5895198,752398
5400785,533548
5400785,446392
5400785,444465
5106839,621522
5106839,752398
5932286,311675
5932286,444465
5932286,621522
5019999,533548
5019999,446392
5019999,444465
5043110,752398
5043110,621522
5043110,444465
5043110,311675
5775911,446392
5775911,533548
5761327,752398
5761327,311675
5761327,446392
5180822,311675
5180822,752398
5180822,533548
5088180,752398
5088180,446392
5393119,533548
5393119,621522
5393119,311675
5393119,446392
5993164,446392
5993164,311675
5790385,533548
5790385,311675
5790385,446392
5656121,752398
5656121,621522
5883753,446392
5883753,444465
5468190,444465
5468190,533548
5468190,446392
5269347,311675
5269347,446392
5620018,621522
5620018,311675
5620018,446392
5302795,444465
5302795,311675
5816496,533548
5816496,446392
